director_id,director_name
200,Priyadarshan
201,Karthik Narain
202,Vasanth Sai
203,Karthik Subbaraj
204,Arvind Swamy
205,Sarjun
206,Gautham Vasudev Menon
207,Kayode Kasum
208,Just Philippot
209,Kirk DeMicco
210,Brandon Jeffords
211,Rohit Shetty
212,Cavi Borges
213,Luciano Vidigal
214,Alejandro Doria
215,Laura Fairrie
216,Marcelo Piñeyro
217,Izu Ojukwu
218,Peter Winther
219,Susan Lacy
220,Billy Corben
221,James Mangold
222,Chineze Anyaene
223,Hsu Fu-chun
224,Kristine Stolakis
225,Eva Müller
226,Michael Schmitt
227,Brian Levant
228,Rod Daniel
229,Robert Zemeckis
230,Todor Chapkanov
231,Phil Lord
232,Christopher Miller
233,John Hughes
234,Justin Baldoni
235,Joe Roth
236,Mark Helfrich
237,Mag Hsu
238,Hsu Chih-yen
239,Christopher Nolan
240,Paul Thomas Anderson
241,Nick Castle
242,Howard Zieff
243,David Feiss
244,David Gordon Green
245,Jorge Blanco
246,Zara Hayes
247,Gary Ross
248,Clint Eastwood
249,Trey Parker
250,Kelly Fremon Craig
251,Tom Elkins
252,Tony Scott
253,Brad Furman
254,Sylvain White
255,Irwin Winkler
256,Garry Marshall
257,Kenneth Gyang
258,Jaume Balagueró
259,Najwa Najjar
260,Selçuk Metin
261,Keishi Otomo
262,David Charhon
263,Michelle Bello
264,Steven Tsuchida
265,Daniel Markowicz
266,Louie Schwartzberg
267,Glen Winter
268,Ram Gopal Varma
269,David Benullo
270,Laxman Utekar
271,Royale Watkins
272,Rich Schlansker
273,Yuval Adler
274,Quentin Tarantino
275,Clay Glen
276,Muzi Mthembu
277,Marcos Bucay
278,Peter Thorwarth
279,Kim Seong-hun
280,Augustine Frizzell
281,Sidheswar Shukla
282,Rajiv Chilaka
283,Binayak Das
284,Arpan Sarkar
285,Shyamal Chaulia
286,Owll Mina
287,Ainsley Gardiner
288,Briar Grace-Smith
289,Mahmoud Karim
290,Kyohei Ishiguro
291,Seyi Babatope
292,Johane Matte
293,Andrew L. Schmidt
294,Francisco Ruiz Velasco
295,Morgan Ingari
296,Abdulaziz Alshlahei
297,Edward Drake
298,Kathryn Fasegha
299,Sita Likitvanichkul
300,Jetarin Ratanaserikiat
301,Apirak Samudkitpaisan
302,Thanabodee Uawithya
303,Adirek Wattaleela
304,Leigh Janiak
305,Luis Estrada
306,Garrett Bradley
307,Sofia Coppola
308,Colin Trevorrow
309,Bill Condon
310,David Slade
311,Chris Weitz
312,Catherine Hardwicke
313,Hadrah Daeng Ratu
314,Tommy Chong
315,Fred Ouro Preto
316,Mayye Zayed
317,Alessandra de Rossi
318,Ash Brannon
319,Chris Buck
320,Alaa Eddine Aljem
321,Tom Donahue
322,Roberto De Feo
323,Paolo Strippoli
324,Navot Papushado
325,Manuel Alcalá
326,Ricardo Trogi
327,Semi Chellas
328,Akay Mason
329,Abosi Ogba
330,Viridiana Lieberman
331,Nima Nourizadeh
332,Daniel Růžička
333,Juraj Šajmovič
334,Femi D. Ogunsanwo
335,Douglas Attal
336,Kim Joo-hyung
337,Avi Federgreen
338,Jericca Cleland
339,Kevin Munroe
340,Ahmed Siddiqui
341,Hallie Meyers-Shyer
342,Scott Speer
343,Barry Levinson
344,Tolulope Itegboje
345,Camille Delamarre
346,Pascal Atuma
347,Oleg Trofim
348,Mahmood Ali-Balogun
349,Jan Holoubek
350,Anurin Nwunembom
351,Musing Derrick
352,Christine Luby
353,Udoka Oyeka
354,Yeo Siew Hua
355,Hardik Mehta
356,Rajveer Singh Maan
357,Harpeet Singh
358,Youssef Chahine
359,Saw Teong Hin
360,Nik Amir Mustapha
361,M.S. Prem Nath
362,Rano Karno
363,Pramod Pawar
364,Naresh Saigal
365,Vinil Mathew
366,Neri Parenti
367,Ramsey Nouah
368,Bong Joon Ho
369,Kim Tae-hyung
370,Michael Spierig
371,Peter Spierig
372,Ernie Barbarash
373,Matt Ogens
374,Jay Roach
375,McG
376,Frank Marshall
377,Victor Vu
378,Chow Hin Yeung Roy
379,Joel Hopkins
380,John Stevenson
381,Mark Osborne
382,Jennifer Yuh Nelson
383,Greg Berlanti
384,Garth Davis
385,Malik Nejer
386,Rob Marshall
387,Martin Brest
388,Shuko Murase
389,Paul W.S. Anderson
390,Ivan Reitman
391,Joel Gallen
392,Claire McCarthy
393,Mary Lambert
394,Sidharta Tata
395,Aco Tenriyagelli
396,Dian Sastrowardoyo
397,Ifa Isfansyah
398,Jason Iskandar
399,Trevor Nunn
400,Gabriele Muccino
401,Jim Field Smith
402,Chris Koch
403,J.J. Abrams
404,Rob Minkoff
405,Lynn Shelton
406,Adam McKay
407,Anton Corbijn
408,Robin Bissell
409,David Fincher
410,John G. Avildsen
411,Alan Parker
412,Walter Hill
413,Stephen Frears
414,Bryan Bertino
415,Phil Alden Robinson
416,Florian Henckel von Donnersmarck
417,Len Wiseman
418,Måns Mårlind
419,Björn Stein
420,Patrick Tatopoulos
421,Robert O. Peters
422,Vincent Ward
423,Gregory Nava
424,Mary Harron
425,Matt Thompson
426,Jameel Buari
427,Shen Leping
428,Matt Aselton
429,Jose Javier Reyes
430,Jakub Piątek
431,John Dower
432,B. T Thomas
433,Andrew Dominik
434,Nibal Arakji
435,Sofie Šustková
436,Anissa Bonnefont
437,Bahij Hojeij
438,Jonathan Hensleigh
439,Srijit Mukherji
440,Vasan Bala
441,Justin P. Lange
442,Kimmy Gatewood
443,Tània Balló
444,Manolo Caro
445,Jayme Monjardim
446,Kingsley Ogoro
447,Cristina Jacob
448,Fernando Moro
449,Ivan Andrew Payawal
450,Yoshiyuki Tomino
451,Yoshikazu Yasuhiko
452,Rob Seidenglanz
453,Simon Frederick
454,Michihito Fujii
455,Paul Weitz
456,Lucky Kuswandi
457,Soudade Kaadan
458,Antoinette Jadaone
459,Marie Clements
460,David O. Russell
461,Achille Brice
462,Max Jabs
463,Sarawut Wichiensarn
464,Ricardo de Montreuil
465,Peter Chelsom
466,Michael Lockshin
467,Francine Parker
468,Daniel Schechter
469,Mike Gunther
470,David Zeiger
471,Michael Simon
472,Jerry Rothwell
473,Joe Berlinger
474,Bruce Sinofsky
475,Ian Cheney
476,Sharon Shattuck
477,Bradley Parker
478,Prabhakaran
479,Manjari Makijany
480,Jay Oliva
481,Chris Appelhans
482,Michael Tiddes
483,Lara Saba
484,Bao Nhan
485,Namcito
486,Mark Raso
487,Tariq Alkazim
488,Yulene Olaizola
489,Matthew Heineman
490,Robert Peters
491,Jonathan Clay
492,Ally Pankiw
493,George Ford
494,Lee Kae-byeok
495,Jayan Moodley
496,Daniel Benmayor
497,Alex Díaz
498,Helena Bergström
499,Alejandro De Grazia
500,Juan Stadler
501,Myriam Fares
502,Chiaki Kon
503,Rae Red
504,Lance Hool
505,Nicole Conn
506,Les Mayfield
507,Ellen Seidler
508,Megan Siler
509,Roger Christian
510,Peter Galison
511,Lance Young
512,Leandro Neri
513,Thom Fitzgerald
514,Don Michael Paul
515,Andrzej Bartkowiak
516,Harold Becker
517,Andrew Jenks
518,Ric Roman Waugh
519,Rob Reiner
520,Andy Tennant
521,Tade Ogidan
522,Scott Spiegel
523,Jessie Nelson
524,Theodore Witcher
525,Aurora Guerrero
526,Michael Jai White
527,James McTeigue
528,Takuya Igarashi
529,Michelle MacLaren
530,Hidenori Inoue
531,Todd Phillips
532,Steve Ball
533,Dominic Sena
534,Alan Alda
535,Mika Kaurismäki
536,Sydney Pollack
537,Lorene Scafaria
538,Barbra Streisand
539,Michael Winterbottom
540,Emma Tammi
541,Peter Hutchings
542,George Ratliff
543,Bo Burnham
544,Ekene Som Mekwunye
545,David Frankel
546,Kevin Johnson
547,José Larraza
548,Marc Pons
549,Gary Sing
550,Julio Quintana
551,Paween Purijitpanya
552,Pablo Faro
553,Letizia Lamartire
554,Ray Jiang
555,Daniel Vernon
556,Steve Gukas
557,Tim Johnson
558,Vishwesh Krishnamoorthy
559,Zack Snyder
560,Uduak-Obong Patrick
561,Mohamed Diab
562,Amr Salama
563,Christopher Amos
564,Robert Rodriguez
565,David Ayer
566,Eshom Nelms
567,Ian Nelms
568,James Moll
569,James Redford
570,Kaashvie Nair
571,J.D. Dillard
572,Nikhil Pherwani
573,Mae Czarina Cruz
574,Praveen Kandregula
575,Cecilia Verheyden
576,Daniel Minahan
577,Donovan Marsh
578,Brent Dawes
579,Leli Maki
580,Uzodinma Okpechi
581,Daniel Prochaska
582,Joe Wright
583,Matthew Vaughn
584,Aditya Kripalani
585,Adriano Rudiman
586,David Pablos
587,Alexandre Aja
588,Cai Cong
589,Samuel Olatunji
590,Ramon Térmens
591,Svetlana Cvetko
592,Martin Prakkat
593,Baran bo Odar
594,Zhang Chong
595,Yılmaz Erdoğan
596,Shantrelle P. Lewis
597,Ivan Ayr
598,Anthony Mandler
599,Vijay Roche
600,Stanley Menino D'Costa
601,Jennifer Brea
602,Julia von Heinz
603,Niels Arden Oplev
604,Don Argott
605,Sheena M. Joyce
606,Joshua Zeman
607,Duncan Skiles
608,Sean McNamara
609,Vondie Curtis-Hall
610,Robert Radler
611,Roel Reiné
612,Dean Parisot
613,Paul Greengrass
614,Justin Kelly
615,Eric Darnell
616,Tom McGrath
617,Conrad Vernon
618,Suhas Kadav
619,Jeff Wadlow
620,Charles Martin
621,Stella Corradi
622,Roland Emmerich
623,Kevin Macdonald
624,Ann Deborah Fishman
625,Chris Gorak
626,Peter Jackson
627,Roger Kumble
628,Jonathan Lynn
629,Courtney Hunt
630,Pierre Greco
631,Nancy Florence Savard
632,Andrew Davis
633,Kevin Smith
634,Chaitanya Tamhane
635,Oriol Paulo
636,Mike Rianda
637,Jeff Rowe
638,Johannes Roberts
639,Robert Pulcini
640,Shari Springer Berman
641,Pedro Antonio
642,John Wells
643,Jonathan Liebesman
644,Maria Pulera
645,Santhosh Viswanath
646,Seema Pahwa
647,Ozan Açıktan
648,Meltem Bozoflu
649,Hakan Algül
650,Selçuk Aydemir
651,Birkan Pusa
652,Ömer Faruk Sorak
653,Şenol Sönmez
654,Alexis Morante
655,Burak Aksak
656,Kıvanç Baruönü
657,Rindala Kodeih
658,Kongkiat Khomsiri
659,Bedran Güzel
660,Marwan Nabil
661,MIKIKO
662,Daito Manabe
663,Takashi Shimizu
664,Joe Penna
665,Ahishor Solomon
666,Curtis Graham
667,Gerardo Gatica
668,Akshay Sanjeev Chavan
669,Sumit Das
670,John Madden
671,Edward James Olmos
672,Abhinay Deo
673,Kiran Rao
674,Abbas Tyrewala
675,Ashutosh Gowariker
676,Satyajit Bhatkal
677,Anusha Rizvi
678,Mahmood Farooqui
679,Aamir Khan
680,Shashank Khaitan
681,Raj Mehta
682,Neeraj Ghaywan
683,Kayoze Irani
684,Ryan Crego
685,Cassi Simonds
686,Guillermo del Toro
687,Tony Abulu
688,Stefan Westerwelle
689,Ron Howard
690,Justin Benson
691,Aaron Moorhead
692,Niki Caro
693,Mark Dennis
694,Ben Foster
695,Taranveer Singh
696,TT The Artist
697,Keiichi Sato
698,Yasushi Kawamura
699,Glenn Weiss
700,Michael Civille
701,Ryuichi Hiroki
702,One9
703,Luis Valdez
704,Cheng Wei-hao
705,Pass Patthanakumjon
706,Buchi Babu Sana
707,Fredrick Munk
708,Moyoung Jin
709,Caroline Sá
710,Deepti Kakkar
711,Fahad Mustafa
712,Hikaru Toda
713,Chico Pereira
714,Elaine McMillion Sheldon
715,Zhao Ji
716,Jamie Babbit
717,Park Hoon-jung
718,Dare Olaitan
719,Ben Falcone
720,Travon Free
721,Martin Desmond Roe
722,Angga Dwimas Sasongko
723,Steve Rolston
724,Shalini Kantayya
725,Madonne Ashwin
726,Enah Johnscott
727,Braden R. Duemmler
728,Cal Brunker
729,Steve Pink
730,Xiao Feng
731,Ricky Staub
732,Patrick Durham
733,Paul G. Volk
734,BB Sasore
735,Naseef Yusuf Izuddin
736,Appie Boudellah
737,Aram van de Rest
738,Sylvie Verheyde
739,Nick Moore
740,Alex Zamm
741,Rajkumar Hirani
742,Rajesh Mapuskar
743,Lina Al Abed
744,James Wan
745,David Hackl
746,Takeshi Nozue
747,Subhash Kapoor
748,Ringo Lam
749,George Cukor
750,Tony Giglio
751,Shinji Aramaki
752,Masaru Matsumoto
753,John Luessenhop
754,Hanung Bramantyo
755,Pandu Adjisurya
756,Bashir El Deek
757,Roman Polański
758,Nelson McCormick
759,Mic Rodgers
760,Shawn Rech
761,Peyton Reed
762,Julian Schnabel
763,Adrián García Bogliano
764,Jose Gomez
765,Jonathon Link
766,Blair Simmons
767,Justin Chadwick
768,John Hillcoat
769,Nadine Ibrahim
770,Roman White
771,Fermín Muguruza
772,Mike Hodges
773,Eylem Kaftan
774,Fernando Ayllón
775,Umesh Bist
776,Massimiliano Camaiti
777,Aleksey Tsitsilin
778,Ali Tabrizi
779,Kagiso Lediga
780,Jung-ah Im
781,Takuma Sato
782,Brody Chu
783,Dimitri Logothetis
784,Taketoshi Sado
785,Li Weiran
786,Chinaza Onuzo
787,Anna Elizabeth James
788,Vitor Brandt
789,Troy Miller
790,Liam O'Donnell
791,Manny Rodriguez
792,Jay Lavender
793,Farah Nabulsi
794,Walter Taylaur
795,Chris Smith
796,Alain Brunard
797,Tate Taylor
798,Ladislaus Kiraly
799,Oliver Stone
800,Hemambar Jasti
801,Taylor Morden
802,Helena Coan
803,Muharrem Gülmez
804,Dolapo Adeleke
805,Mahsun Kırmızıgül
806,Can Ulkay
807,Luis Alejandro Pérez
808,Ketche
809,Erol Özlevi
810,Miguel Arteta
811,Tolga Örnek
812,Pablo Agüero
813,Mohammad Irfan Ramly
814,Kevin McManus
815,Matthew McManus
816,Ange Basterga
817,Nicolas Lopez
818,Gitanjali Rao
819,Halitha Shameem
820,Carlos Moreno
821,Maribel Sánchez-Maroto
822,Fajar Bustomi
823,Taylor Hackford
824,Amy Poehler
825,Jared Hess
826,Tyler Measom
827,Mike Binder
828,Abir Sengupta
829,Sunny Lau
830,Emmett Malloy
831,Xavier Maingon
832,Marc-Antoine Hélard
833,Milton Kremer
834,Kevin Costner
835,Marco Petry
836,Andrew Duncan
837,Ken Cunningham
838,Liam Lynch
839,Jérémie Degruson
840,Ben Stassen
841,Matt Ross
842,Dani de la Orden
843,Pablo Larraín
844,John Erick Dowdle
845,Jesse Peretz
846,Ribhu Dasgupta
847,Rizki Balki
848,Shunsuke Kariyama
849,Jeferson De
850,Barry Avrich
851,David Tryhorn
852,Ben Nicholas
853,Tirumala Kishore
854,Huang Hsin-Yao
855,Saron Sakina
856,J Blakeson
857,Khalid Rahman
858,Luis Ara
859,Tharun Bhascker Dhaassyam
860,B. V. Nandini Reddy
861,Nag Ashwin
862,Sankalp Reddy
863,Prateek Vats
864,Alex Merkin
865,Vikram Bhatt
866,Dallas Jenkins
867,Damián Romay
868,Hamisha Daryani Ahuja
869,Hong Khaou
870,Mario Briongos
871,Vinay Bharadwaj
872,Michael Fimognari
873,Eric D. Cabello Díaz
874,Clara Martínez-Lázaro
875,Monty Tiwa
876,Ava DuVernay
877,Alain Darborg
878,Filip Zylber
879,Julien Royal
880,Brian Baugh
881,Henri Wong
882,Maïa Sandoz
883,Mostofa Sarwar Farooki
884,Joseph Hsu
885,Sam Levinson
886,Jo Sung-hee
887,Michèle Ohayon
888,Rocco Ricciardulli
889,Guo Jingming
890,Jan Belcl
891,Esteban Crespo
892,Noé González
893,Sarah Gavron
894,Martin Scorsese
895,Richard Arellano
896,Jon Favreau
897,Marco Pontecorvo
898,Gregory Plotkin
899,Lluís Quílez
900,Jude Weng
901,Simon Stone
902,Noviandra Santosa
903,Jeremy Grant
904,Jeo Baby
905,Glendyn Ivin
906,Okey Oku
907,Ifeanyi Ikpoenyi
908,Chris Eneng Enaji
909,Ángeles Reiné
910,Paul Haggis
911,Ramin Bahrani
912,Nicol Paone
913,Nick Rowland
914,RZA
915,Cooper Karl
916,Gary Fleder
917,J.A. Bayona
918,Darren Lynn Bousman
919,Lydia Dean Pilcher
920,Ginny Mohler
921,Cris D'Amato
922,Mikael Håfström
923,Simon J. Smith
924,Byeon Hee-sun
925,Peter Facinelli
926,Renuka Shahane
927,Ross Kauffman
928,Sung Do-jun
929,Charles Gozali
930,Bagus Bramanti
931,James Toback
932,Tiller Russell
933,Francisco D'Eufemia
934,Chris Rock
935,Juliet May
936,Stanley Nelson
937,Olivier Nakache
938,Éric Toledano
939,Prakash Jha
940,Rohan Sippy
941,Ross Venokur
942,Rohena Gera
943,Maite Ruiz De Austri
944,Jastis Arimba
945,Eric Summer
946,Éric Warin
947,Kornél Mundruczó
948,Alejandro Ruax
949,Ramiro Martínez
950,Florent Bodin
951,Sohail Khan
952,Hallvard Bræin
953,Jeff Tremaine
954,Christian Alvart
955,Robert Townsend
956,Jeff Deverett
957,Ron Krauss
958,Brian Robbins
959,Jeff Stilson
960,Sean Penn
961,Mark McQueen
962,Melanie Mayron
963,Donald Petrie
964,Tony Collingwood
965,Jennifer Beamish
966,Toby Trackman
967,Jaume Collet-Serra
968,Kim Dong-kyu
969,Shaz Bennett
970,Samar Shaikh
971,Archie Hekagery
972,Sabrina Rochelle Kalangie
973,Cosima Spender
974,Liao Shih-han
975,Arnon Manor
976,Timothy Ware-Hill
977,Gore Verbinski
978,Al Campbell
979,Alice Mathias
980,Maïwenn
981,Richard Weston
982,Vikramaditya Motwane
983,Prime Cruz
984,Andibachtiar Yusuf
985,Yandy Laurens
986,Cathy Garcia-Molina
987,John Mitchell
988,Jeremy Kipp Walker
989,George Clooney
990,Liu Kuang-hui
991,Kristian Mercado
992,Daan Jansen
993,Stijn Verlinde
994,Jay Grace
995,Paul Dugdale
996,James Haslam
997,Muhammad Ali
998,Thomas Toby Parkinson
999,John Putch
1000,Sam Macaroni
1001,George C. Wolfe
1002,Yasmin Ahmad
1003,Sudha Kongara
1004,Vignesh Shivan
1005,Vetri Maaran
1006,Juan Camilo Pinzon
1007,Lin Oeding
1008,Naya Anindita
1009,Alexx Media
1010,Farishad I. Latjuba
1011,Andrucha Waddington
1012,Pedro Waddington
1013,Picky Talarico
1014,Jun Lana
1015,Brad Peyton
1016,Lee Daniels
1017,Tom Ford
1018,Ellena Wood
1019,Jesse Vile
1020,Vir Das
1021,Miranda de Pencier
1022,Farhad Safinia
1023,Shaun Paul Piccinino
1024,Eddie Rosas
1025,Frank E. Abney III
1026,James D. Stern
1027,Fernando Villena
1028,Ryan Murphy
1029,Girish Malik
1030,Deepa Mehta
1031,Lai Chun-yu
1032,Theodore Boborol
1033,Sydney Sibilia
1034,Josiah Ng
1035,Kirk Wise
1036,Beth Sleven
1037,Allan Jacobsen
1038,Kevin Wotton
1039,Jalil Lespert
1040,Su I-Hsuan
1041,Chuang Shiang-an
1042,Liu Yi
1043,Clint Butler
1044,Erik Kling
1045,Kevin Peaty
1046,Detlev Buck
1047,Amanda Raymond
1048,Jason Paul Laxamana
1049,Marc Fouchard
1050,Darragh O'Connell
1051,Roberto Santucci
1052,Dado C. Lumibao
1053,August Jakobsson
1054,Anna Wieczur-Bluszcz
1055,Damien O’Connor
1056,Richard Laxton
1057,Gil Kenan
1058,Phil Burgers
1059,Pierre Morel
1060,Brian Henson
1061,Derick Cabrido
1062,Marla M. Ancheta
1063,Jen McGowan
1064,Bernie Denk
1065,Brian Skiba
1066,Oliver Bokelberg
1067,Ángel Gómez Hernández
1068,Ludovico Di Martino
1069,Lee Chung-hyun
1070,Barry Gonzalez
1071,Brian Volk-Weiss
1072,Matthew Michael Carnahan
1073,Eric Bress
1074,Chris Columbus
1075,V Vignarajan
1076,Greg Rankin
1077,TJ Sullivan
1078,Carlos Sorín
1079,Matt Eskandari
1080,Grant Singer
1081,Mohammad Adel
1082,Debbie Allen
1083,Victor Gatonye
1084,Stephen Chiodo
1085,Will McCormack
1086,Michael Govier
1087,Monica Floyd
1088,Anurag Kashyap
1089,Siddique
1090,Danish Aslam
1091,Vibhu Virender Puri
1092,Mike Rohl
1093,Shyam Benegal
1094,Takeshi Fukunaga
1095,Leslie Small
1096,Jeff Nichols
1097,Sabaah Folayan
1098,Damon Davis
1099,Justin G. Dyck
1100,Cody Cameron
1101,Kris Pearn
1102,Michael Curtiz
1103,Avinash Walzade
1104,David E. Talbert
1105,Renata Terra
1106,Edoardo Ponti
1107,Mateo Gil
1108,Paul Soriano
1109,Ryan Coogler
1110,Lucas Santa Ana
1111,Carla Barros
1112,Ulrike Kofler
1113,Steven Bognar
1114,Julia Reichert
1115,Kunle Afolayan
1116,Weica Wang
1117,Aitor Arregi
1118,Jon Garaño
1119,Jose Mari Goenaga
1120,Kevin Pollak
1121,Otoja Abit
1122,Alejandro Hartmann
1123,Maxwell McGuire
1124,Ruel S. Bayani
1125,Martin Wood
1126,Narendra Nath
1127,Jan-Peter Horns
1128,Tatsushi Omori
1129,Estela Renner
1130,Zeek Earl
1131,Christopher Caldwell
1132,Michael Kampa
1133,Chanda Bell
1134,Jennifer Westcott
1135,Richard Greenberg
1136,Peter Berg
1137,Nicolas Pesce
1138,Christopher Cain
1139,Juliana Vicente
1140,Harald Zwart
1141,Stacia Crawford
1142,Remi Weekes
1143,Tope Oshin
1144,Terrie Samundra
1145,Olivier Marchal
1146,Santiago Alvarado Ilarri
1147,Frasco Mortiz
1148,John Whitesell
1149,Antonio Díaz
1150,Nimród Antal
1151,Bartosz M. Kowalski
1152,James Tovell
1153,Matías Gueilburt
1154,Natasha Lyonne
1155,Chang Chin-jung
1156,Chen Rong-hui
1157,Rajkumar Santoshi
1158,Lance Daly
1159,Unjoo Moon
1160,Gil Baroni
1161,Thierry Demaizière
1162,Alban Teurlai
1163,Glen Keane
1164,Chris Sivertson
1165,Kief Davidson
1166,Pedro Kos
1167,Jarand Herdal
1168,Dan Villegas
1169,Chris Foggin
1170,Kim Nguyen
1171,Karen Maine
1172,Tim Neeves
1173,Ben Wheatley
1174,Maroun Baghdadi
1175,Philippe Aractingi
1176,Amin Dora
1177,Rana Eid
1178,Daniel Joseph
1179,Randa Chahal Sabbag
1180,Ziad Doueiri
1181,Shady Hanna
1182,Josef Fares
1183,Sam Fell
1184,Chris Butler
1185,Ross Boyask
1186,David 'Tosh' Gitonga
1187,Michael Jones
1188,Ti West
1189,Aaron Sorkin
1190,Levan Gabriadze
1191,Rachel Talalay
1192,Sam Liu
1193,Peter Mimi
1194,Lasja Fauzia Susatyo
1195,Pavitra Chalam
1196,Akshay Shankar
1197,Kevin Ko
1198,Peter Tsi
1199,Caroline Suh
1200,Carlos Pérez Osorio
1201,Ken Ghosh
1202,Indra Kumar
1203,B. Subhash
1204,Harshavardhan Kulkarni
1205,Neeraj Vora
1206,Puneet Khanna
1207,Radha Blank
1208,Bigflo & Oli
1209,Jérémie Levypon
1210,Eduardo Pinto
1211,Pavel Kostomarov
1212,Mike Elliott
1213,Francis Whately
1214,Jon Izen
1215,Christopher Nolen
1216,Alastair Fothergill
1217,Jonnie Hughes
1218,Keith Scholey
1219,Amy Segal
1220,Umut Aral
1221,Umut Kirca
1222,Sudhir Mishra
1223,Domenico de Feudis
1224,Oz Rodriguez
1225,Salvador Espinosa
1226,Adrian Teh
1227,Brad Silberling
1228,Elsa Flores Almaraz
1229,Richard J Montoya
1230,Carey McKenzie
1231,Adam Bolt
1232,Taika Waititi
1233,Lindsey Cordero
1234,Armando Croda
1235,David LaChapelle
1236,Mostafa Abu Seif
1237,Faris Godus
